ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,negLL_obs_val,negLL_obs_trainval,negLL_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
1,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,1,l2,0.0,0.0030260672539746554,500,3000,459.0,500.0,0.0,3.3315184990564983,0.03854060173034668,2990.7404224975016,3192.4274016780428,NaN,NaN,1.0256600905092726e26,9.476715953501701e25,1.0088919667219462e26,NaN,NaN,163.64664559973414,37.6722886520015,201.31893425173564,NaN,73.63215301807182,57.55343178489386,15.431454880522658
2,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2,l2,0.0,0.00010526279571183611,500,3000,511.0,500.0,15.0,1.9829877694447835,0.059334667523701985,2990.740422501658,3192.4279372894603,NaN,NaN,7.960200941995878e24,5.065496824991346e24,7.248827123847697e24,NaN,NaN,163.6466456968608,37.67228219313313,201.31892788999392,NaN,73.62897836795771,57.55448321203582,15.430337585203874
3,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,3,l2,0.0,0.004466643173397108,500,3000,527.0,500.0,30.0,1.0000765999158223,0.06903961896896363,2922.315021493321,3130.28605693344,NaN,NaN,7.989083254899365e18,6.073146386021504e17,3.435557349689883e18,NaN,NaN,150.78838907008515,33.92779789528135,184.7161869653665,NaN,74.74395869036476,58.072539682848365,5.557115194671036
4,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,4,l2,0.00582945696570351,0.0003359728227475448,500,3000,523.0,500.0,24.0,2.789392149448395,0.08184536695480346,2936.1856952444627,3142.521501581228,NaN,NaN,4.1186493248276553e12,3.1139457939309487e12,3.888650881405146e12,NaN,NaN,156.98815706638322,35.52862180383427,192.51677887021748,NaN,76.09439346283902,57.48881589644296,6.789515949679894
5,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,5,l2,0.0,0.0005681378847649161,500,3000,519.0,500.0,49.0,0.9725624839464824,0.09746561845143636,2921.0273647662098,3130.8778105664514,NaN,NaN,3.014266537168414e23,1.2968599202328897e21,2.2129004215765786e22,NaN,NaN,151.43665229073613,33.65400274100927,185.09065503174537,NaN,84.55695211464553,56.975577909930486,4.065236529344718
6,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,6,l2,0.006661700484764628,0.0005126736187056226,500,3000,570.0,500.0,145.0,0.9350141326586405,0.5184868494669597,916.1503665964699,442.09033714745124,NaN,NaN,0.12941630277593724,0.06045466919858446,0.11559731598088076,NaN,NaN,129.83741957391055,27.1416911028361,156.97911067674664,NaN,33.11922102335395,39.85072161107319,3.592904879596183
7,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,7,l2,0.005075806801460022,0.0027716491406684684,500,3000,339.0,500.0,5.0,3.871477166811625,0.06846298376719157,3008.3811882907307,3172.5176216413292,NaN,NaN,1.304373310795096e9,3.7970132175788875e9,1.5268976884933767e9,NaN,NaN,165.04303141011698,37.41672976433847,202.45976117445548,NaN,73.02812036758068,61.97920721087684,16.51263599670084
8,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,8,l2,0.14076551169968857,0.0023472692096620047,500,3000,517.0,500.0,18.0,0.8814866820971171,0.07025818427403768,188.39019602395763,113.79767314849882,NaN,NaN,0.06929610154469175,0.03163651533108765,0.06215495866426072,NaN,NaN,122.33077815712787,25.409044601366745,147.73982275849463,NaN,11.240038012677488,17.495091867689172,7.3772680409449976
9,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,9,l2,0.01312661989512013,0.0001385334920874383,500,3000,507.0,500.0,15.0,1.1484214186668396,0.03669135173161824,2996.1105748653586,3211.893504585185,NaN,NaN,5.147017288008666e7,2.843319807572369e7,4.542437763190269e7,NaN,NaN,164.65224961242671,38.1653938532267,202.81764346565342,NaN,77.54342451620153,60.652528338288974,13.507087782894189
10,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,10,l2,0.0014630162231579259,0.004578025193208109,500,3000,509.0,500.0,12.0,2.9059558471043903,0.07485068241755168,2922.2144844125132,3133.611187959762,NaN,NaN,3.540618538213854e14,1.0219255817160026e12,1.881151155968107e13,NaN,NaN,152.2927012075682,34.37565896661619,186.66836017418436,NaN,73.63458134697869,57.56112213784959,4.17436555645936
11,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,11,l2,0.8260018826925963,0.0007795883946838626,500,3000,512.0,500.0,13.0,0.5495870669682821,0.017039652665456137,2990.8693644316754,3192.311498889191,NaN,NaN,1.0650624012061746e17,1.138063097597208e17,1.0782873897929282e17,NaN,NaN,166.433665050159,38.62128072123676,205.05494577139578,NaN,50.362641256978094,61.408060687849364,17.956587280752604
12,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,12,l2,0.001482322938306297,0.005713233359036982,500,3000,477.0,500.0,2.0,0.503455396493276,0.005841533342997233,2941.9306621271817,3140.852846971385,NaN,NaN,4.0506190425300803e9,1.7032527824430635e9,3.289432738478758e9,NaN,NaN,157.52748363243344,35.833178849597516,193.360662482031,NaN,73.63374557166004,57.554371269784994,10.316133337195508
13,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,13,l2,0.08190920465184422,0.009094675621214136,500,3000,531.0,500.0,31.0,4.383086633682251,0.22737268209457398,2978.8498674349694,3181.7716145698864,NaN,NaN,7.019412555356287e19,1.407901986039926e23,1.0606502735004448e20,NaN,NaN,162.61449144822706,37.393640497503725,200.00813194573078,NaN,73.77283365010553,57.66621742123863,13.655674574300098
14,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,14,l2,0.005375235715227534,0.0003600110144734593,500,3000,521.0,500.0,23.0,1.1888599832852682,0.06876090367635092,2931.155244924069,3142.082055483592,NaN,NaN,6.17279253595298e17,6.533208225758918e17,6.237246007666449e17,NaN,NaN,155.4953511671328,35.58351419927051,191.07886536640333,NaN,95.27181691579618,54.95997647025608,7.0302166360424065
15,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,15,l2,0.0067462237270952425,0.0006750656801221905,500,3000,677.0,500.0,202.0,1.590385866165161,0.3186036666234334,2921.138527341976,3134.943030677694,NaN,NaN,5.50469915093275e21,4.659534140904755e21,5.326619408184108e21,NaN,NaN,150.034738587672,34.595741865339185,184.6304804530112,NaN,74.48254776109025,57.61475419300498,5.42083017684197
16,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,16,l2,0.07340915321983858,0.0002650508957329134,500,3000,568.0,500.0,73.0,2.70359791914622,0.19768378337224324,2926.0922053092277,3143.4375494951296,NaN,NaN,9.592296520371487e21,1.4910318940309393e19,3.043859647509862e20,NaN,NaN,152.71501766281938,35.621874237749466,188.33689190056884,NaN,76.29378620983455,57.29324301344508,6.701946355506438
17,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,17,l2,0.01013551875386917,0.000713449067425445,500,3000,532.0,500.0,33.0,0.5209148327509562,0.0650664488474528,2921.5000186657676,3131.6932503716303,NaN,NaN,1.0024307305357766e12,6.422980420810785e11,9.090644258811927e11,NaN,NaN,150.33720730395362,34.178662307710205,184.51586961166385,NaN,76.15582720395437,54.88345083420454,5.741763823047231
18,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,18,l2,0.006099412249972123,0.008760606170937171,500,3000,499.0,500.0,2.0,0.6298997203509012,0.009026618798573811,2944.1259653416205,3146.5313529491464,NaN,NaN,3.445061475619334e25,4.200875131966494e22,8.958978900607895e23,NaN,NaN,157.8958397525481,36.03141406982364,193.92725382237174,NaN,73.64219525203768,57.56179425271927,10.011502262441454
19,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,19,l2,0.06145875820027603,0.00015828640329369607,500,3000,523.0,500.0,26.0,2.4607598861058553,0.07019040187199911,2929.347240592869,3139.3083393799006,NaN,NaN,2.8480202131760425e18,8.998664125211272e16,7.994169096888883e17,NaN,NaN,155.085443507173,35.570536043461466,190.6559795506345,NaN,67.8077890545351,77.99848540601727,7.194522162746967
20,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,20,l2,0.20975237188389625,0.00011588417476566515,500,3000,552.0,500.0,96.0,0.30441768566767374,0.12331273158391316,2930.069810094686,3140.45042657474,NaN,NaN,3.97851817149127e23,2.8655288383898862e22,1.7186628209898098e23,NaN,NaN,154.25534080925047,35.38298037696249,189.63832118621298,NaN,74.82470430075364,57.55103159183657,7.521753459222217
21,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,21,l2,0.006354024268886603,0.00017852569886639725,500,3000,523.0,500.0,23.0,0.41561079819997154,0.025031848748524984,2942.007486276021,3144.3915653851845,NaN,NaN,4.325006657584947e9,3.6379131268301587e9,4.179559063811956e9,NaN,NaN,157.5265861480496,35.968516390230405,193.49510253828004,NaN,71.76777071208721,57.09043510889193,10.131060352416865
