ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,negLL_obs_val,negLL_obs_trainval,negLL_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
1,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,1,lhs,1,l2,0.0,0.0030260672539746554,500,3000,514,500,97,3.4120860656102496,0.20623993476231892,171.73635180101215,23.495210311259846,NaN,NaN,0.03663002483960573,0.005582619704205059,0.03021609274760388,NaN,NaN,104.7857522357912,20.67779894722843,125.4635511830196,NaN,23.606508666170114,5.229138258816053,4.9524191265563
2,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,1,lhs,2,l2,0.0,0.00010526279571183611,500,3000,526,500,139,0.6189040025075276,0.28083420197168985,294.22847937340634,41.59085276534317,NaN,NaN,0.05194806279701939,0.009423835879022695,0.04349038941061115,NaN,NaN,109.89571432439627,21.885498489900627,131.78121281429688,NaN,24.34295961719121,8.507724360533736,3.7869611196595594
3,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,3,l2,0.0,0.004466643173397108,500,3000,524,500,24,0.7353906194368999,0.06050018469492594,3033.119156329755,3256.7158909213845,NaN,NaN,2.3567434404562213e6,1.5327403782397777e7,2.9955473695556107e6,NaN,NaN,166.33425118002262,38.64753975475203,204.98179093477466,NaN,73.43843665614641,57.5353262763888,19.723888228124814
4,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,4,l2,0.00582945696570351,0.0003359728227475448,500,3000,587,500,184,2.7387263496716816,0.17793426513671876,133.98225145272863,17.115807111553067,NaN,NaN,0.031090790515749162,0.0044051753321232255,0.025516745057646076,NaN,NaN,100.18389446605501,20.01554296600004,120.19943743205503,NaN,19.109189719791217,4.259034127213831,5.605819538356396
5,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,5,l2,0.0,0.0005681378847649161,500,3000,500,500,2,0.6103699803352356,0.006435032685597738,1341.6853053479317,1458.7806852691938,NaN,NaN,8.849218393679662,8.457333811008553,8.7730189467378,NaN,NaN,160.71845851345995,37.39912249440893,198.1175810078689,NaN,42.369788508577756,47.23426572520842,43.151743567627484
6,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,6,l2,0.006661700484764628,0.0005126736187056226,500,3000,566,500,151,0.2920357306798299,0.3178853154182434,166.66112930984332,48.8751625421255,NaN,NaN,0.03762988270445336,0.01147190610814744,0.0326588056724374,NaN,NaN,99.9906900419951,21.291298313080713,121.28198835507581,NaN,21.82015470764057,4.226094655151386,5.643945010904179
7,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,1,lhs,7,l2,0.005075806801460022,0.0027716491406684684,500,3000,506,500,8,3.5407312830289204,0.06297186613082886,1469.834874698128,794.5700936992382,NaN,NaN,2.345998965051357,2.604829021585499,2.390075579567415,NaN,NaN,163.02872799603415,36.65241804328185,199.681146039316,NaN,49.961611818478005,66.47985725333812,34.8350176692788
8,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,8,l2,0.14076551169968857,0.0023472692096620047,500,3000,497,500,2,0.8367056687672932,0.06009586652119955,100.79960760132975,68.75429155410443,NaN,NaN,0.05159963441306265,0.02240339346995158,0.04542750235383345,NaN,NaN,116.3463227840399,26.473720045725685,142.82004282976555,NaN,11.044754714630974,14.676682181947896,21.18011989550355
9,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,9,l2,0.01312661989512013,0.0001385334920874383,500,3000,504,500,6,0.41803439855575564,0.019098401069641113,3086.525505761814,3054.2842717732756,NaN,NaN,2081.0504799208234,333.07294695135175,1237.420245314372,NaN,NaN,181.62611924835687,41.85358277251591,223.47970202087276,NaN,103.28541493443572,155.13900336393482,22.52497724657178
10,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,10,l2,0.0014630162231579259,0.004578025193208109,500,3000,503,500,114,2.4448161164919537,0.13335785071055095,282.15470023359114,27.340512838965353,NaN,NaN,0.053857464990234756,0.005357067143375043,0.044542634599859465,NaN,NaN,111.09578041702058,21.30241770351896,132.39819812053955,NaN,26.820854300151538,8.274630342345215,4.314003270891586
