ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
1,boehm_export_augmented,-,16,3,5,tanh,1,lhs,1,l2,0.0,0.0030260672539746554,500,3000,543,500,95,35.1906197309494,7.5206860860188804,2913.7156219347935,3128.8498442440805,NaN,NaN,1.7879324418396141e28,9.870413798357608e26,6.595752653824857e27,NaN,NaN,140.77299703330206,39.98493111981525,9.797917850668547e13,32.73456833046049,173.50756536376255,44.535668910782135,40.83819445562154,2.396512614968839e13,5.960053108352348e13,NaN,NaN,NaN,73.63199746414087,57.55317263199094,2.6565888130237107
2,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2,l2,0.0,0.00010526279571183611,500,3000,533,500,55,0.7223873337109884,0.09808506568272908,2943.006198888696,3150.04241866584,NaN,NaN,4.730415683737601e19,5.586902595813769e20,6.321096014480651e19,NaN,NaN,157.99150362230483,41.881719266622376,5.02258574637176e9,36.32883801321063,194.32034163551546,46.086422636728265,42.67010114851723,1.865442340660616e10,5.894307349283139e9,NaN,NaN,NaN,76.54743507314048,57.08570843461553,11.443224877117776
3,boehm_export_augmented,-,16,3,5,tanh,0,lhs,3,l2,0.0,0.004466643173397108,500,3000,509,500,12,1.000121001402537,0.05413135290145874,2951.0709659783674,3157.3998115810996,NaN,NaN,9.488555413149707e16,3.3497833808652525e17,1.135769172324973e17,NaN,NaN,159.18307156388377,42.151716662988626,2.0339138930227703e8,36.52927981178594,195.71235137566973,46.55857927308761,42.97800340238218,4.292145724760698e8,2.2680925991840386e8,NaN,NaN,NaN,73.63215535930138,57.55342837808784,10.344166286432191
4,boehm_export_augmented,-,16,3,5,tanh,0,lhs,4,l2,0.00582945696570351,0.0003359728227475448,500,3000,504,500,4,2.8685871998469037,0.05113396644592285,2981.3233482528135,3195.6109478766366,NaN,NaN,1.849359366706615e12,2.867258161019598e12,1.9943837884395042e12,NaN,NaN,162.93785129108943,43.40199011710196,948253.3339550268,37.77060220799442,200.70845349908387,48.351310147169094,44.329987622739544,1.266432495257746e6,998584.1403289917,NaN,NaN,NaN,68.6993698369029,55.315175725384506,13.8732564994223
5,boehm_export_augmented,-,16,3,5,tanh,0,lhs,5,l2,0.0,0.0005681378847649161,500,3000,517,500,16,0.9140610337257385,0.01823736826578776,2915.935782980337,3128.364674923328,NaN,NaN,4.9159018571027304e16,4.742958962741369e16,4.884077352546324e16,NaN,NaN,146.44958664683574,40.32570201817286,1.6258694865252724e8,33.51583341017452,179.96542005701028,44.49309023285336,41.107087308425456,1.720163939125047e8,1.644372043240924e8,NaN,NaN,NaN,73.54586051908929,68.25658683628453,5.0413229747055786
6,boehm_export_augmented,-,16,3,5,tanh,0,lhs,6,l2,0.006661700484764628,0.0005126736187056226,500,3000,542,500,45,0.9351512312889099,0.11981196800867716,1369.019249006404,707.3202032274571,NaN,NaN,0.4582809824992033,0.3760493034987562,0.4525546988251357,NaN,NaN,134.46220658922007,26.343598192399188,0.4812745440408334,30.23700473419794,164.699211323418,20.163302100739102,25.184792675212933,0.461851220756515,0.4784432136649288,NaN,NaN,NaN,55.24656916247703,36.493190600589735,3.0117255947409554
7,boehm_export_augmented,-,16,3,5,tanh,1,lhs,7,l2,0.005075806801460022,0.0027716491406684684,500,3000,509,500,9,4.481179730097453,0.6097764015197754,3052.8424706969713,3272.4601344397106,NaN,NaN,7.250156886133689e8,3.0546433314405254e10,1.0262598352830095e9,NaN,NaN,167.41910165141599,45.87264002044998,19140.91294479193,38.84750306143995,206.26660471285592,50.46412223073863,46.733542934879104,134320.5965287649,23127.02709903975,NaN,NaN,NaN,73.64512086843115,57.54245411677288,19.837570891286727
8,boehm_export_augmented,-,16,3,5,tanh,0,lhs,8,l2,0.14076551169968857,0.0023472692096620047,500,3000,514,500,17,0.9489765803019206,12.13778908252716,2947.0031599201516,3114.6137108475286,NaN,NaN,74400.71998594418,41744.851359611406,52624.00397160365,NaN,NaN,165.5583469744581,42.13378221734025,180.18485761726015,38.05643420688364,203.61478118134173,45.38209490769805,42.742840846782336,158.0014599229238,160.9065975280352,NaN,NaN,NaN,65.82795103634005,57.85964211397225,25.309383372584467
9,boehm_export_augmented,-,16,3,5,tanh,0,lhs,9,l2,0.01312661989512013,0.0001385334920874383,500,3000,516,500,23,1.0516903162002564,0.05677753289540609,2975.063635612078,3173.201601740198,NaN,NaN,1.8744099827949577e10,6.206928996979182e9,1.4473913391351862e10,NaN,NaN,162.55257824312176,43.21054782409774,93589.22995564618,37.133475314688994,199.68605355781074,47.22225637359176,43.96274317712787,57485.77719099236,83167.10652150965,NaN,NaN,NaN,81.27939808564904,59.16521770777874,12.271007580928417
10,boehm_export_augmented,-,16,3,5,tanh,0,lhs,10,l2,0.0014630162231579259,0.004578025193208109,500,3000,515,500,53,2.966102949778239,0.0859916647275289,2920.912608767844,3130.241308628143,NaN,NaN,1.8450021513164068e16,3.899120830188084e12,9.715112573089227e13,NaN,NaN,149.8852249875,40.80769818434482,9.870127354376718e7,33.85876883949517,183.74399382699517,44.70351260281911,41.53816338780875,1.5117220854082936e6,7.089313565921192e6,NaN,NaN,NaN,73.51307392345245,58.59525975089172,5.34596231574445
