ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
1,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.0,0.0001166415117990861,500,3000,16,500,5,3.7167388518651325,0.08138364950815836,20.52072819767424,25.61887543194335,NaN,NaN,0.008979641468031293,0.007048525748774025,0.008644822493044931,NaN,NaN,75.0629976686288,3.2283866653020246,0.06613317472148617,18.020106353661557,93.08310402229034,3.6957783643079796,3.3160226088656413,0.06238768615799655,0.0655728832956521,NaN,NaN,NaN,3.838984572798074,6.56772704307348,3.163612721737657
2,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.1849799733903348,0.0002808496478586241,500,3000,8,500,2,1.6778363188107808,0.015735268592834473,20.40405349166985,25.44582050151156,NaN,NaN,0.008917283485637754,0.006947070830223324,0.008575858010746161,NaN,NaN,75.0174032699944,3.2231899755011946,0.0660444163503888,18.013908235418675,93.03131150541307,3.654053350828386,3.303976858375043,0.06133717994074664,0.06530536823947557,NaN,NaN,NaN,3.8373899063311954,6.565812687056301,3.1650379433879055
3,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.06198990239422084,0.00010906968038849234,500,3000,23,500,4,1.6134234150250752,0.034982566038767496,20.31426388200173,25.490059322131657,NaN,NaN,0.008871840066926871,0.006951738798073031,0.008541583367928639,NaN,NaN,74.9171318638805,3.2181901938998694,0.06595636384491282,18.02937670559067,92.94650856947118,3.6526768778794434,3.29965644714604,0.06127656978801815,0.06522537936310431,NaN,NaN,NaN,3.833756700414886,6.558083548620265,3.167605893460235
4,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.0019371646986854336,0.0027337250901675143,500,3000,2,500,1,2.953791352113088,0.044756317138671876,20.57455082820316,24.696479465623195,NaN,NaN,0.009035829704178454,0.006521033079780123,0.008607654251018514,NaN,NaN,76.69548193388995,3.2949887385117393,0.06809431200667844,18.016620234532752,94.71210216842272,3.548829747855897,3.3425839277637692,0.05891153505638727,0.06656807379243142,NaN,NaN,NaN,3.831606353601313,6.555540377534927,3.1699966601484046
5,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.008432995795165675,0.0007179576082999873,500,3000,7,500,170,1.6321137507756551,0.6971556504567464,19.876242225622953,23.694219456043573,NaN,NaN,0.008313380739060973,0.00617697483800295,0.007938632822899422,NaN,NaN,75.79574701881336,3.2650888806346154,0.06590296116630308,17.797871628322675,93.59361864713603,3.309135158142917,3.2733475576674222,0.054528239590937805,0.06382348594842664,NaN,NaN,NaN,3.819388656632059,6.536492556553295,3.1799850260559044
6,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.2984104532239085,0.008628357223533476,500,3000,594,500,207,4.1299085974693295,20.215025015672047,48.48031598096792,196.51837405322675,NaN,NaN,0.017649304383763123,0.04697074116313917,0.02538150893970544,NaN,NaN,89.81199770489528,5.249804678259446,0.09957678034401847,31.45942053400771,121.27141823890298,8.865547958155636,5.927756543239983,0.14116844525838732,0.10858499256211651,NaN,NaN,NaN,6.95095510540884,9.165727542410453,3.6180765420232066
7,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.13819208962791543,0.000363027849109449,500,3000,7,500,2,1.7549275994300841,0.02270113229751587,20.137989666539504,25.018328163213106,NaN,NaN,0.008768979695919893,0.006740653588377822,0.008416645548338866,NaN,NaN,74.91053610718706,3.2138680861885986,0.06591349119509911,17.979778479510575,92.89031458669761,3.5685489319778716,3.280370744774087,0.05937808142826098,0.06482882135867382,NaN,NaN,NaN,3.835769637507351,6.563318384812173,3.166371380866043
8,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.013503865360556649,0.00202364820211964,500,3000,2,500,11,2.672553316752116,0.2935389002164205,20.580872938908787,25.845921005681127,NaN,NaN,0.009027798477265113,0.007107900580624196,0.008696490292580907,NaN,NaN,75.03687169382873,3.2360713134372636,0.0663590846375691,18.068998946139416,93.10587063996815,3.718143627946207,3.3264598724076904,0.06271896034442605,0.06582408438720308,NaN,NaN,NaN,3.8370514659834383,6.564856236508198,3.165498129598662
9,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.8592495070333972,0.0001626179295391671,500,3000,38,500,7,4.292699666817983,5.550326852003733,20.613339603741004,25.616575752331343,NaN,NaN,0.009050645033494563,0.007048218005128319,0.008701783107653845,NaN,NaN,75.11160896835706,3.2366273665172467,0.06641560331767497,18.03750366673217,93.14911263508924,3.70730872103555,3.324880120489429,0.06251064941293341,0.06583481952884322,NaN,NaN,NaN,3.8383704404385455,6.625104383458718,3.1723942145248887
10,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.1713783241208248,0.0023536565628824897,500,3000,1,500,2,8.033946180343628,0.024199167887369793,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
