Noise	Sparsity	1	2	3	4	5	6	7	8	9	10
5	25	0	0	0	0	0	0	1	0	0	0
5	50	0	0	0	0	0	0	0	0	0	0
5	100	1	1	1	0	0	1	1	0	0	0
5	150	0	0	1	0	0	0	0	0	0	1
5	200	0	1	1	1	1	1	1	0	0	1
10	25	0	0	0	0	0	1	0	0	0	0
10	50	0	1	1	0	0	0	1	0	1	0
10	100	0	1	0	0	0	1	1	0	0	1
10	150	0	0	0	0	0	0	0	0	1	0
10	200	0	0	1	0	0	0	1	0	1	0
20	25	0	0	0	0	0	0	0	0	0	0
20	50	0	0	0	0	0	0	0	0	0	0
20	100	1	1	0	1	0	0	0	0	0	0
20	150	0	0	0	1	0	0	1	1	0	1
20	200	0	0	0	1	0	0	0	0	0	0
35	25	0	0	0	0	0	0	0	0	0	0
35	50	0	0	0	0	0	0	0	0	0	0
35	100	0	0	0	0	0	0	0	0	0	0
35	150	0	0	0	0	0	0	0	0	0	0
35	200	0	0	0	0	0	0	0	0	1	0
